County,State,Population,Area in square miles - Land area,Population sq mi land,Housing units sq mi
Autauga,Alabama,"55,869",594.44,91.8,37.2
Baldwin,Alabama,"223,234",1589.78,114.6,65.5
Barbour,Alabama,"24,686",884.88,31,13.4
Bibb,Alabama,"22,394",622.58,36.8,14.4
Blount,Alabama,"57,826",644.78,88.9,37
Bullock,Alabama,"10,101",622.8,17.5,7.2
Butler,Alabama,"19,448",776.83,27,12.8
Calhoun,Alabama,"113,605",605.87,195.7,88
Chambers,Alabama,"33,254",596.53,57.4,28.5
Cherokee,Alabama,"26,196",553.7,46.9,29.4
Chilton,Alabama,"44,428",692.85,63,27.8
Choctaw,Alabama,"12,589",913.5,15.2,8
Clarke,Alabama,"23,622",1238.46,20.9,10.2
Clay,Alabama,"13,235",603.96,23.1,11.2
Cleburne,Alabama,"14,910",560.1,26.7,12
Coffee,Alabama,"52,342",678.97,73.6,32.9
Colbert,Alabama,"55,241",592.62,91.8,43.5
Conecuh,Alabama,"12,067",850.16,15.6,8.3
Coosa,Alabama,"10,663",650.93,17.7,10
Covington,Alabama,"37,049",1030.46,36.6,18.3
Crenshaw,Alabama,"13,772",608.84,22.8,11.1
Cullman,Alabama,"83,768",734.84,109.4,50.4
Dale,Alabama,"49,172",561.15,89.6,40.4
Dallas,Alabama,"37,196",978.69,44.8,20.6
DeKalb,Alabama,"71,513",777.09,91.5,40
Elmore,Alabama,"81,209",618.48,128.2,52.8
Escambia,Alabama,"36,633",945.08,40.5,17.4
Etowah,Alabama,"102,268",534.99,195.2,88.7
Fayette,Alabama,"16,302",627.66,27.5,13.4
Franklin,Alabama,"31,362",633.82,50,22.1
Geneva,Alabama,"26,271",574.41,46.6,22.1
Greene,Alabama,"8,111",647.11,14,7.7
Hale,Alabama,"14,651",643.94,24.5,11.9
Henry,Alabama,"17,205",561.75,30.8,15.8
Houston,Alabama,"105,882",579.82,175.1,78.2
Jackson,Alabama,"51,626",1077.87,49.4,23
Jefferson,Alabama,"658,573",1111.28,592.5,270.5
Lamar,Alabama,"13,805",604.85,24.1,12.2
Lauderdale,Alabama,"92,729",667.7,138.8,65.6
Lawrence,Alabama,"32,924",690.68,49.7,22
Lee,Alabama,"164,542",607.54,230.8,102.7
Limestone,Alabama,"98,915",559.94,147.8,62.5
Lowndes,Alabama,"9,726",715.91,15.8,7.2
Macon,Alabama,"18,068",608.89,35.2,16.8
Madison,Alabama,"372,909",801.59,417.7,182.7
Marengo,Alabama,"18,863",976.88,21.5,10.5
Marion,Alabama,"29,709",742.29,41.5,19.9
Marshall,Alabama,"96,774",565.84,164.4,71.3
Mobile,Alabama,"413,210",1229.44,335.9,144.9
Monroe,Alabama,"20,733",1025.67,22.5,11
Montgomery,Alabama,"226,486",784.25,292.5,129.6
Morgan,Alabama,"119,679",579.34,206.3,88.4
Perry,Alabama,"8,923",719.66,14.7,6.6
Pickens,Alabama,"19,930",881.41,22.4,10.8
Pike,Alabama,"33,114",672.09,48.9,22.7
Randolph,Alabama,"22,722",580.55,39.5,20.6
Russell,Alabama,"57,961",641.14,82.6,38.4
St. Clair,Alabama,"89,512",631.9,132.3,56.2
Shelby,Alabama,"217,702",784.93,248.5,103.2
Sumter,Alabama,"12,427",903.89,15.2,7.5
Talladega,Alabama,"79,978",736.78,111.7,50.3
Tallapoosa,Alabama,"40,367",716.52,58.1,30.9
Tuscaloosa,Alabama,"209,355",1321.75,147.3,64.2
Walker,Alabama,"63,521",791.19,84.7,38.9
Washington,Alabama,"16,326",1080.21,16.3,7.8
Wilcox,Alabama,"10,373",888.5,13.1,6.4
Winston,Alabama,"23,629",612.98,39.9,22
Aleutians East Borough,Alaska,"3,337",6981.94,0.4,0.1
Aleutians West Census Area,Alaska,"5,634",4390.28,1.3,0.4
Anchorage,Alaska,"288,000",1704.68,171.2,66.3
Bethel Census Area,Alaska,"18,386",40570,0.4,0.1
Bristol Bay Borough,Alaska,836,503.84,2,1.9
Denali Borough,Alaska,"2,097",12751.41,0.1,0.1
Dillingham Census Area,Alaska,"4,916",18568.78,0.3,0.1
Fairbanks North Star Borough,Alaska,"96,849",7338.21,13.3,5.7
Haines Borough,Alaska,"2,530",2318.6,1.1,0.7
Hoonah-Angoon Census Area,Alaska,"2,148",7524.91,0.3,0.2
Juneau City and Borough,Alaska,"31,974",2701.93,11.6,4.8
Kenai Peninsula Borough,Alaska,"58,708",16075.33,3.4,1.9
Ketchikan Gateway Borough,Alaska,"13,901",4858.41,2.8,1.3
Kodiak Island Borough,Alaska,"12,998",6549.58,2.1,0.8
Kusilvak Census Area,Alaska,"8,314",23652.01,0.1,0.1
Lake and Peninsula Borough,Alaska,"1,592",24607.9,3.6,1.7
